pdf_file;page;group;label;pattern;context
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;24;work;Zürcher Stadtchronik;z[üu]rcher\s+stadtchronik;"Zitat). 66 Edlibach, 40, 54, 56, 57, 95; Rudolf Gamper: Die Zürcher Stadtchroniken und ihre Ausbreitung in die Ostschweiz (MAGZ 52/2), Züric"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;24;work;Bullinger (Heinrich Bullinger);heinrich\s+bullinger;"6, Basel 1884,107-229,hier 136,156 f., 192-201,205 f., 214; Heinrich Bullinger: Von den Tigurineren und der statt Zürych SachenVIII büecher"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;24;work;Bullinger (Heinrich Bullinger);\bbullinger\b;"Basel 1884,107-229,hier 136,156 f., 192-201,205 f., 214; Heinrich Bullinger: Von den Tigurineren und der statt Zürych SachenVIII büecher, ZB"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;24;series;QSG (Quellen zur Schweizer Geschichte);\bqsg\b;"7), 54; Felix Fabri: Descriptio Sueviae, hg. von Hermann Escher, in: QSG, Bd. 6, Basel 1884,107-229,hier 136,156 f., 192-201,205 f., 214; He"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;24;series;Basler Chroniken (Reihe);\bbasler\s+chroniken\b;". 55 Fründ, 280; Chronik der Stadt Zürich (wie Anm. 12), 222; Basler Chroniken, Bd. 5, bearb. von August Bernoulli, Leipzig 1895,396; StAZ,"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;24;generic;Chronik/Chroniken;\bchronik(?:en)?\b;"ürich 1952,174 f. 53 Sieber (wie Anm. 37), 54, nach: Klingenberger Chronik, 312 f.; Hemmerli (wie Ami. 34), fol. 132 v Sieber-Lehmann/Wilhel"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;24;generic;Chronik/Chroniken;\bchronik(?:en)?\b;"nung seines Klosters. Vgl. URStAZ, Bd. 6, Nr. 9087. 55 Fründ, 280; Chronik der Stadt Zürich (wie Anm. 12), 222; Basler Chroniken, Bd. 5, bea"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;24;generic;Chronik/Chroniken;\bchronik(?:en)?\b;"5 Fründ, 280; Chronik der Stadt Zürich (wie Anm. 12), 222; Basler Chroniken, Bd. 5, bearb. von August Bernoulli, Leipzig 1895,396; StAZ, CI,"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;24;generic;Jahrbuch/Jahrbücher;jahrb[üu]ch(?:er|e)?\b;"993,309-321 ; Ders.: Bildersturm im Mittelalter, in: Historisches Jahrbuch Görres-Gesellschaft 113 (1993), 255-282; Quellenberichte von Guy"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;25;work;Fründ (Hans Fründ);\bfr[üu]nd\b;"r. 9065; Neue Zürcher Zeitung vom 23./24. Oktober 1999, Nr. 247,51; Fründ, 230 f.; RQ Kanton St. Gallen, 1. Teil: Die Rechtsquellen der Abte"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;25;work;Schilling (Diebold Schilling, Berner/Luzerner Chronik);\bschilling\b;"von Uster» zur Gedenkfeier vom 28. Mai 1994,26. Mai 1994; Herbert Schilling: Gedenkgang zur Bluetmatt in Nänikon, in: Jahrbuch Greifensee 7"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;25;work;Stumpf (Johannes Stumpf);johannes\s+stumpf;und Aktensammlung zur Zürcher Dissertation von Attilio Bonomo [Johannes Stumpf der Refor¬ mator und Geschichtsschreiber, Genua 1923],Typoskr
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;25;work;Stumpf (Johannes Stumpf);johannes\s+stumpf;"d. 2, ZBZ, Ms. Z1103a, 526 f. (Schreiben von Ludwig Lavater an Johannes Stumpf 1556); Bullinger (wie Anm. 2), Ms. A14, fol. 317 v (ebd., fol"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;25;work;Stumpf (Johannes Stumpf);\bstumpf\b;ktensammlung zur Zürcher Dissertation von Attilio Bonomo [Johannes Stumpf der Refor¬ mator und Geschichtsschreiber, Genua 1923],Typoskript,
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;25;work;Stumpf (Johannes Stumpf);\bstumpf\b;"ZBZ, Ms. Z1103a, 526 f. (Schreiben von Ludwig Lavater an Johannes Stumpf 1556); Bullinger (wie Anm. 2), Ms. A14, fol. 317 v (ebd., fol. 302"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;25;work;Bullinger (Heinrich Bullinger);\bbullinger\b;Bullinger, in: Vadian als Geschichtsschreiber, hg, von Rudolf Gamper (Vadian-Studien 17), St. Gallen 2005 (im Druck),Text bei Anm. 59 und di
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;25;work;Bullinger (Heinrich Bullinger);\bbullinger\b;"a, 526 f. (Schreiben von Ludwig Lavater an Johannes Stumpf 1556); Bullinger (wie Anm. 2), Ms. A14, fol. 317 v (ebd., fol. 302 r,ein Beispiel"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;25;generic;Jahrbuch/Jahrbücher;jahrb[üu]ch(?:er|e)?\b;"1994; Herbert Schilling: Gedenkgang zur Bluetmatt in Nänikon, in: Jahrbuch Greifensee 7 (1994/95), 18-21;Neue Zürcher Zeitung vom 11. Mai 19"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;26;work;Stumpf (Johannes Stumpf);johannes\s+stumpf;"chronik; Zitat), ferner ebd., Nr. 127,708-710 (Darstellung bei Johannes Stumpf). 88"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;26;work;Stumpf (Johannes Stumpf);\bstumpf\b;"ik; Zitat), ferner ebd., Nr. 127,708-710 (Darstellung bei Johannes Stumpf). 88"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;26;work;Klingenberger Chronik;klingenberger\s+chronik;"flüchteten. Vgl. Bullinger (wie Anm. 91), 436. Vgl. ferner Klingenberger Chronik, 313; Denkschrift (wie Anm. 47), 479; URStAZ, Bd. 6, Nr. 8"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;26;work;Bullinger (Heinrich Bullinger);heinrich\s+bullinger;"r (Memorialtafel; Zitat) und 140 r-141 r (Alter Zürichkrieg) Heinrich Bullinger: Annales sive Chronicon coenobii Capell, in: Johann Jakob Si"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;26;work;Bullinger (Heinrich Bullinger);\bbullinger\b;t vor Anm. 27. 85 Vgl. oben den Beitrag von Bernhard Stettier. 86 Bullinger (wie Anm. 2), Ms. A 14, fol. 300 v (Güders Abschrift von Stumpfs
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;26;work;Bullinger (Heinrich Bullinger);\bbullinger\b;"hrend der Abt und der übrige Konvent nach Zürich flüchteten. Vgl. Bullinger (wie Anm. 91), 436. Vgl. ferner Klingenberger Chronik, 313; Denk"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;26;work;Bullinger (Heinrich Bullinger);\bbullinger\b;"emorialtafel; Zitat) und 140 r-141 r (Alter Zürichkrieg) Heinrich Bullinger: Annales sive Chronicon coenobii Capell, in: Johann Jakob Simler"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;26;work;Bullinger (Heinrich Bullinger);\bbullinger\b;in Bullingers Reformationsgeschichte aus den 1560er Jahren, vgl. Bullinger (wie Anm. 13), Bd. 1,91: «[...] dermassen verwüst, das es in 7 j
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;26;work;Bullinger (Heinrich Bullinger);\bbullinger\b;d 68-69. 93 Die Namen zum Jahr 1493 in StAZ, E II 437, fol. 144 r Bullinger (wie Anm. 91), 443: Ulrich Stämpfli (Altabt), Johannes Schönenbe
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;26;generic;Chronik/Chroniken;\bchronik(?:en)?\b;"eten. Vgl. Bullinger (wie Anm. 91), 436. Vgl. ferner Klingenberger Chronik, 313; Denkschrift (wie Anm. 47), 479; URStAZ, Bd. 6, Nr. 8418,885"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;26;generic;Chronicon/Chronica;\bchronic(?:on|a|orum)\b;140 r-141 r (Alter Zürichkrieg) Heinrich Bullinger: Annales sive Chronicon coenobii Capell, in: Johann Jakob Simler: Sammlung alter und neu
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;26;generic;Annales/Annalen;\bannal(?:es|en)\b;"el; Zitat) und 140 r-141 r (Alter Zürichkrieg) Heinrich Bullinger: Annales sive Chronicon coenobii Capell, in: Johann Jakob Simler: Sammlung"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/langmaier-konstantin-m__17.pdf;26;generic;Historia/Historiae;\bhistori[ae]\b;(wie Anm. 2), Ms. A 14, fol. 300 v (Güders Abschrift von Stumpfs «Historia» umfasst fol. 240- 357). 87 StALU, Urk 231/3328,2 f. Liebenau (wi
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;3;generic;Annales/Annalen;\bannal(?:es|en)\b;zahlreiche hochrangige sächsische Adlige gefallen waren und in den Annales Fuldenses verzeichnet wurden (Annales Fuldenses, S. 94). 14 Vgl.
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;3;generic;Annales/Annalen;\bannal(?:es|en)\b;"ge gefallen waren und in den Annales Fuldenses verzeichnet wurden (Annales Fuldenses, S. 94). 14 Vgl. Courroux: What Types, S. 138–140; sieh"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;4;work;Melchior Russ;melchior\s+russ;mpfern in der Sempacher Schlacht ist diejenige,die der Luzerner Melchior Russ († als Söldner in den Diensten Uris am 22. Juli 1499 im Gefech
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;4;work;Melchior Russ;melchior\s+russ;"Engelberg, 14. Jahrhundert), S. 377. 20 Vgl. Vonarburg Züllig: Melchior Russ, T. 62; Egloff: Russ. 21 Vgl. Henggeler: Schlachtjahrtzeit, S."
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;4;work;Melchior Russ;\bruss\b;n in der Sempacher Schlacht ist diejenige,die der Luzerner Melchior Russ († als Söldner in den Diensten Uris am 22. Juli 1499 im Gefecht bei
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;4;work;Melchior Russ;\bruss\b;"lberg, 14. Jahrhundert), S. 377. 20 Vgl. Vonarburg Züllig: Melchior Russ, T. 62; Egloff: Russ. 21 Vgl. Henggeler: Schlachtjahrtzeit, S. 9f."
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;4;work;Melchior Russ;\bruss\b;"t), S. 377. 20 Vgl. Vonarburg Züllig: Melchior Russ, T. 62; Egloff: Russ. 21 Vgl. Henggeler: Schlachtjahrtzeit, S. 9f. 22 Vgl. ebd., S. 66–6"
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;5;work;Justinger (Konrad Justinger);\bjustinger\b;e auch andere gefallene Adlige leisten (Berner-Chronik des Conrad Justinger, S. 34). 26 Vgl. Annales Bernenses, S. 274. Siehe hierzu Hugener
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;5;generic;Chronik/Chroniken;\bchronik(?:en)?\b;erner von Homberg wie auch andere gefallene Adlige leisten (Berner-Chronik des Conrad Justinger, S. 34). 26 Vgl. Annales Bernenses, S. 274.
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;5;generic;Annales/Annalen;\bannal(?:es|en)\b;lige leisten (Berner-Chronik des Conrad Justinger, S. 34). 26 Vgl. Annales Bernenses, S. 274. Siehe hierzu Hugener: Buchführung, S. 204f. 27
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;6;work;Fründ (Hans Fründ);hans\s+fr[üu]nd;Alten Zürichkrieg vermerkte der damalige Schwyzer Landschreiber Hans Fründ († um 1469) in einer Liste die Namen der Schwyzer Gefallenen im
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;6;work;Fründ (Hans Fründ);\bfr[üu]nd\b;lten Zürichkrieg vermerkte der damalige Schwyzer Landschreiber Hans Fründ († um 1469) in einer Liste die Namen der Schwyzer Gefallenen im Ge
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;6;generic;Chronik/Chroniken;\bchronik(?:en)?\b;gsgefallenenlisten integriert: In seiner als Augenzeuge verfassten Chronik über den sogenannten Alten Zürichkrieg vermerkte der damalige Sch
/Users/programming/PycharmProjects/Find_Bibliography_NEw/data/azk_library/landolt-oliver__30.pdf;7;work;Fründ (Hans Fründ);hans\s+fr[üu]nd;ete 1446,48 Belagerung von Waldshut 146849). 35 Vgl. Chronik des Hans Fründ, S. 132, Nr. 128: »Diss sind dera namen, die uf der von Swytz te
